Number,Element,Nuclide,Mass,Composition,Weight,Notes
1,H,1,1.007825032,0.999885,"[1.00784,1.00811]",m
1,H,2,2.014101778,0.000115,,
1,H,3,3.016049278,,,
2,He,3,3.01602932,0.00000134,4.002602,"g,r"
2,He,4,4.002603254,0.99999866,,
3,Li,6,6.015122887,0.0759,"[6.938,6.997]",m
3,Li,7,7.016003437,0.9241,,
4,Be,9,9.012183065,1,9.0121831,?
5,B,10,10.01293695,0.199,"[10.806,10.821]",m
5,B,11,11.00930536,0.801,,
6,C,12,12,0.9893,"[12.0096,12.0116]",?
6,C,13,13.00335484,0.0107,,
6,C,14,14.00324199,,,
7,N,14,14.003074,0.99636,"[14.00643,14.00728]",?
7,N,15,15.0001089,0.00364,,
8,O,16,15.99491462,0.99757,"[15.99903,15.99977]",?
8,O,17,16.99913176,0.00038,,
8,O,18,17.99915961,0.00205,,
9,F,19,18.99840316,1,18.99840316,?
10,Ne,20,19.99244018,0.9048,20.1797,"g,m"
10,Ne,21,20.99384669,0.0027,,
10,Ne,22,21.99138511,0.0925,,
11,Na,23,22.98976928,1,22.98976928,?
12,Mg,24,23.9850417,0.7899,"[24.304,24.307]",?
12,Mg,25,24.98583698,0.1,,
12,Mg,26,25.98259297,0.1101,,
13,Al,27,26.98153853,1,26.9815385,?
14,Si,28,27.97692653,0.92223,"[28.084,28.086]",?
14,Si,29,28.97649466,0.04685,,
14,Si,30,29.97377014,0.03092,,
15,P,31,30.973762,1,30.973762,?
16,S,32,31.97207117,0.9499,"[32.059,32.076]",?
16,S,33,32.97145891,0.0075,,
16,S,34,33.967867,0.0425,,
16,S,36,35.96708071,0.0001,,
17,Cl,35,34.96885268,0.7576,"[35.446,35.457]",m
17,Cl,37,36.9659026,0.2424,,
18,Ar,36,35.96754511,0.003336,39.948,"g,r"
18,Ar,38,37.96273211,0.000629,,
18,Ar,40,39.96238312,0.996035,,
19,K,39,38.96370649,0.932581,39.0983,?
19,K,40,39.96399817,0.000117,,
19,K,41,40.96182526,0.067302,,
20,Ca,40,39.96259086,0.96941,40.078,g
20,Ca,42,41.95861783,0.00647,,
20,Ca,43,42.95876644,0.00135,,
20,Ca,44,43.95548156,0.02086,,
20,Ca,46,45.953689,0.00004,,
20,Ca,48,47.95252276,0.00187,,
21,Sc,45,44.95590828,1,44.955908,?
22,Ti,46,45.95262772,0.0825,47.867,?
22,Ti,47,46.95175879,0.0744,,
22,Ti,48,47.94794198,0.7372,,
22,Ti,49,48.94786568,0.0541,,
22,Ti,50,49.94478689,0.0518,,
23,V,50,49.94715601,0.0025,50.9415,?
23,V,51,50.94395704,0.9975,,
24,Cr,50,49.94604183,0.04345,51.9961,?
24,Cr,52,51.94050623,0.83789,,
24,Cr,53,52.94064815,0.09501,,
24,Cr,54,53.93887916,0.02365,,
25,Mn,55,54.93804391,1,54.938044,?
26,Fe,54,53.93960899,0.05845,55.845,?
26,Fe,56,55.93493633,0.91754,,
26,Fe,57,56.93539284,0.02119,,
26,Fe,58,57.93327443,0.00282,,
27,Co,59,58.93319429,1,58.933194,?
28,Ni,58,57.93534241,0.68077,58.6934,r
28,Ni,60,59.93078588,0.26223,,
28,Ni,61,60.93105557,0.011399,,
28,Ni,62,61.92834537,0.036346,,
28,Ni,64,63.92796682,0.009255,,
29,Cu,63,62.92959772,0.6915,63.546,r
29,Cu,65,64.9277897,0.3085,,
30,Zn,64,63.92914201,0.4917,65.38,r
30,Zn,66,65.92603381,0.2773,,
30,Zn,67,66.92712775,0.0404,,
30,Zn,68,67.92484455,0.1845,,
30,Zn,70,69.9253192,0.0061,,
31,Ga,69,68.9255735,0.60108,69.723,?
31,Ga,71,70.92470258,0.39892,,
